tanggal,wilayah,tavg,rh_avg,rr,ff_avg,tavg_imputed,rh_avg_imputed,ff_avg_imputed,rr_imputed,dum_ramadan,dum_idulfitri,dum_natal_newyr,tahun,tavg_flag,rh_avg_flag,ff_avg_flag,imputasi_flag,tavg_final,rh_avg_final,ff_avg_final,kabupaten,kode_wilayah,level_harga,komoditas,harga,harga_imputed
2021-03-09,Kota Bandung,23.0,78.0,19.1,3,23.0,78.0,3,False,0,0,0,2021,False,False,False,False,23.0,78.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,115000.0,False
2021-03-10,Kota Bandung,23.0,80.0,0.0,2,23.0,80.0,2,False,0,0,0,2021,False,False,False,False,23.0,80.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,115000.0,False
2021-03-11,Kota Bandung,23.9,76.0,0.0,3,23.9,76.0,3,False,0,0,0,2021,False,False,False,False,23.9,76.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,115000.0,False
2021-03-12,Kota Bandung,23.9,83.0,13.2,1,23.9,83.0,1,False,0,0,0,2021,False,False,False,False,23.9,83.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,7500.0,False
2021-03-13,Kota Bandung,24.2,65.0,3.5,3,24.2,65.0,3,False,0,0,0,2021,False,False,False,False,24.2,65.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,115000.0,False
2021-03-14,Kota Bandung,24.1,67.0,0.0,3,24.1,67.0,3,False,0,0,0,2021,False,False,False,False,24.1,67.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,115000.0,False
2021-03-15,Kota Bandung,23.9,76.0,0.0,2,23.9,76.0,2,False,0,0,0,2021,False,False,False,False,23.9,76.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-16,Kota Bandung,22.9,84.0,0.0,1,22.9,84.0,1,False,0,0,0,2021,False,False,False,False,22.9,84.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-17,Kota Bandung,22.6,87.0,0.6,2,22.6,87.0,2,False,0,0,0,2021,False,False,False,False,22.6,87.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-18,Kota Bandung,22.5,84.0,20.0,1,22.5,84.0,1,False,0,0,0,2021,False,False,False,False,22.5,84.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-19,Kota Bandung,23.4,82.0,56.2,2,23.4,82.0,2,False,0,0,0,2021,False,False,False,False,23.4,82.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-20,Kota Bandung,22.8,83.0,2.2,2,22.8,83.0,2,False,0,0,0,2021,False,False,False,False,22.8,83.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-21,Kota Bandung,23.9,78.0,0.0,2,23.9,78.0,2,False,0,0,0,2021,False,False,False,False,23.9,78.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,130000.0,False
2021-03-22,Kota Bandung,23.9,83.0,4.0,1,23.9,83.0,1,False,0,0,0,2021,False,False,False,False,23.9,83.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,130000.0,False
2021-03-23,Kota Bandung,24.1,81.0,7.8,2,24.1,81.0,2,False,0,0,0,2021,False,False,False,False,24.1,81.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-24,Kota Bandung,22.7,89.0,1.4,1,22.7,89.0,1,False,0,0,0,2021,False,False,False,False,22.7,89.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-25,Kota Bandung,23.3,81.0,18.3,2,23.3,81.0,2,False,0,0,0,2021,False,False,False,False,23.3,81.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-26,Kota Bandung,23.6,82.0,10.7,2,23.6,82.0,2,False,0,0,0,2021,False,False,False,False,23.6,82.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-27,Kota Bandung,23.9,86.0,5.3,1,23.9,86.0,1,False,0,0,0,2021,False,False,False,False,23.9,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-28,Kota Bandung,23.8,83.0,18.7,1,23.8,83.0,1,False,0,0,0,2021,False,False,False,False,23.8,83.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,120000.0,False
2021-03-29,Kota Bandung,24.0,84.0,32.4,3,24.0,84.0,3,False,0,0,0,2021,False,False,False,False,24.0,84.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,115000.0,False
2021-03-30,Kota Bandung,24.3,86.0,6.8,1,24.3,86.0,1,False,0,0,0,2021,False,False,False,False,24.3,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,110000.0,False
2021-03-31,Kota Bandung,23.9,84.0,8.2,1,23.9,84.0,1,False,0,0,0,2021,False,False,False,False,23.9,84.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,100000.0,False
2021-04-01,Kota Bandung,24.1,81.0,29.8,2,24.1,81.0,2,False,0,0,0,2021,False,False,False,False,24.1,81.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,104166.66666666669,True
2021-04-02,Kota Bandung,25.0,74.0,0.0,2,25.0,74.0,2,False,0,0,0,2021,False,False,False,False,25.0,74.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,100000.0,False
2021-04-03,Kota Bandung,22.8,85.0,1.8,3,22.8,85.0,3,False,0,0,0,2021,False,False,False,False,22.8,85.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,100000.0,False
2021-04-04,Kota Bandung,24.0,78.0,1.2,3,24.0,78.0,3,False,0,0,0,2021,False,False,False,False,24.0,78.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,100000.0,False
2021-04-05,Kota Bandung,24.1,78.0,0.0,3,24.1,78.0,3,False,0,0,0,2021,False,False,False,False,24.1,78.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,95000.0,False
2021-04-06,Kota Bandung,24.7,73.0,0.2,3,24.7,73.0,3,False,0,0,0,2021,False,False,False,False,24.7,73.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,80000.0,False
2021-04-07,Kota Bandung,24.4,74.0,0.0,3,24.4,74.0,3,False,0,0,0,2021,False,False,False,False,24.4,74.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,80000.0,False
2021-04-08,Kota Bandung,24.6,63.0,0.0,5,24.6,63.0,5,False,0,0,0,2021,False,False,False,False,24.6,63.0,5,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-09,Kota Bandung,23.9,76.0,0.0,2,23.9,76.0,2,False,0,0,0,2021,False,False,False,False,23.9,76.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-10,Kota Bandung,24.8,78.0,3.8,3,24.8,78.0,3,False,1,0,0,2021,False,False,False,False,24.8,78.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-11,Kota Bandung,24.1,79.0,0.0,2,24.1,79.0,2,False,1,0,0,2021,False,False,False,False,24.1,79.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-12,Kota Bandung,23.5,79.0,3.4,1,23.5,79.0,1,False,1,0,0,2021,False,False,False,False,23.5,79.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-13,Kota Bandung,22.9,81.0,1.2,2,22.9,81.0,2,False,0,0,0,2021,False,False,False,False,22.9,81.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-14,Kota Bandung,22.1,91.0,5.8,1,22.1,91.0,1,False,0,0,0,2021,False,False,False,False,22.1,91.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-15,Kota Bandung,21.2,90.0,23.6,1,21.2,90.0,1,False,0,0,0,2021,False,False,False,False,21.2,90.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-16,Kota Bandung,23.1,86.0,35.1,1,23.1,86.0,1,False,0,0,0,2021,False,False,False,False,23.1,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-17,Kota Bandung,24.2,73.0,17.2,2,24.2,73.0,2,False,0,0,0,2021,False,False,False,False,24.2,73.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-18,Kota Bandung,24.0,79.0,0.0,2,24.0,79.0,2,False,0,0,0,2021,False,False,False,False,24.0,79.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-19,Kota Bandung,24.1,80.0,17.5,2,24.1,80.0,2,False,0,0,0,2021,False,False,False,False,24.1,80.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-04-20,Kota Bandung,23.7,74.0,25.6,1,23.7,74.0,1,False,0,0,0,2021,False,False,False,False,23.7,74.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-04-21,Kota Bandung,23.5,66.0,0.0,2,23.5,66.0,2,False,0,0,0,2021,False,False,False,False,23.5,66.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
